Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Оліфіренко,Віталій,Геннадійович,male,1951-10-08,Патологоанатом,село Решетилівка,"провулок Мусіна, буд. 24 кв. 885, Федорівка, 09234",215-93-69,tieremenko@example.org
Ільєнко,Тимофій,Васильович,male,1954-03-26,Музикознавець,село Південне,"провулок Добровольців, буд. 389, Нікополь, 59615",+380 78 271 68 06,liza88@example.com
Чайка,Варвара,Русланівна,female,1985-08-30,Епідеміолог,місто Буринь,"шосе Ялинкова, буд. 127, Деражня, 09467",083 705 05 27,gopanasenko@example.net
Ящук,Аліна,Євгенівна,female,1953-07-09,Флорист,село Перевальськ,"сквер Аеропортівський 2-й, буд. 89 кв. 9, Алупка, 03429",796 86 78,svitlanabandura@example.org
Гресь,Андрій,Васильович,male,1971-03-04,Педагог,селище Деражня,"проспект Партизанська, буд. 4, Переяслав, 90938",647 65 50,danylenkoiakiv@example.com
Вакуленко,Мирон,Васильович,male,1995-07-18,Композитор,село Хрустальний,"провулок Лиманчик 2-й Лінія 3-тя, буд. 465, Сарни, 87858",+380 46 093-48-01,dannadubenko@example.net
Вишняк,Зиновій,Євгенович,male,1985-06-01,Фрілансер,хутір Добромиль,"узвіз Малинова, буд. 263, Гнівань, 95158",255 81 33,vadymlupii@example.org
Фесенко,Леонтій,Євгенович,male,1991-07-03,Фармацевт,хутір Підгородне,"провулок Клинова, буд. 0 кв. 534, Луцьк, 71089",055 222 76 35,idavydenko@example.net
Бабич,Тимофій,Зіновійович,male,1958-04-05,Дерун,село Дружківка,"провулок Василя Кандинського 1-й, буд. 04, Гірське, 59530",082 623 52 71,okhomyk@example.org
Жайворон,Петро,Ульянович,male,1948-12-02,Астрофізик,місто Житомир,"провулок Романтичний, буд. 19 кв. 407, Отаманівка, 53432",008 703 04 32,kalenychenkodemyd@example.org
Ейбоженко,Павло,Євгенович,male,1974-05-14,Будник,хутір Калуш,"площа Садова 6-та, буд. 89, Ходорів, 20553",041 152 17 34,pavlo54@example.org
Аронець,Аркадій,Дмитрович,male,1974-08-26,Електротехнік,село Тернопіль,"шосе Ткачова, буд. 7 кв. 1, Кодима, 53658",030 647-78-17,habelkonazar@example.net
Дрозд,Адам,Дмитрович,male,2002-04-18,Історик,село Герца,"площа Олександра Білостінного, буд. 492, Чуднів, 05183",+380 34 965-53-17,qizhak@example.net
Конопленко,Лариса,Ігорівна,female,1953-06-01,Гінеколог,місто Жовква,"набережна Чорноморський 3-й, буд. 273 кв. 39, Белз, 81837",070 509 24 42,bohdanna42@example.com
Вакарчук,Владислав,Володимирович,male,1995-05-18,Антрополог,хутір Рава-Руська,"провулок Військовий узвіз, буд. 73 кв. 824, Славутич, 05309",068 579 81 94,zatulaalbert@example.net
Рябченко,Зиновій,Олександрович,male,1943-09-30,Астроном,місто Роздільна,"узвіз Лобачевського, буд. 94, Глухів, 65266",181 49 64,derhachrozaliia@example.org
Гавриш,Олесь,Васильович,male,1941-05-04,Петрограф,село Корюківка,"набережна Керченський 1-й, буд. 742 кв. 272, Монастириська, 88175",+380 77 469-96-69,ivasylevych@example.net
Гузенко,Оксана,Дмитрівна,female,2003-01-03,Співак,село Дрогобич,"проспект Серединський, буд. 73, Вільнянськ, 61370",+380 05 176-66-36,orysia06@example.com
Вітер,Марта,Сергіївна,female,2002-09-23,Продюсер,селище Ходорів,"проспект Черешнева, буд. 19, Судова Вишня, 04814",086 102 98 81,oksana49@example.net
Шеремет,Мирон,Дмитрович,male,1943-04-17,Журналіст,селище Скалат,"провулок Волокидіна, буд. 224, Кіцмань, 46203",017 670-06-49,orkhypromanets@example.net
Рева,Зорян,Ульянович,male,1938-12-12,Гицель,селище Лутугине,"вулиця Аеродромний 3-й, буд. 058 кв. 0, Бердянськ, 43338",+380 90 160-43-17,okhrimiaremchuk@example.net
Дейсун,Іван,Артемович,male,1964-12-10,Літературознавець,місто Знам'янка,"узвіз Промисловий, буд. 941, Куп'янськ, 69630",+380 04 457 05 96,vladyslav45@example.com
Андрійчук,Віра,Ярославівна,female,1971-03-29,Випробувач,хутір Очаків,"проспект Удільний, буд. 00, Нова Каховка, 71191",652-12-54,rvasylashko@example.org
Яковенко,Данна,Ярославівна,female,1994-09-23,Диригент,селище Залізне,"узвіз Фахова, буд. 533, Новгород-Сіверський, 97205",+380 74 341-25-17,shvedchenkoazar@example.net
Ткаченко,Вадим,Володимирович,male,1987-01-04,Диригент,місто Шепетівка,"проспект В’ячеслава Чорновола, буд. 69 кв. 9, Тульчин, 07408",+380 06 469-18-65,ckonoplenko@example.net
Атаманчук,Гаврило,Анатолійович,male,1970-03-13,Круп'є,місто Миколаївка,"вулиця Бодаревського, буд. 523 кв. 39, Тлумач, 59916",+380 59 504-42-78,poltavetsanzhela@example.net
Черненко,Йосип,Дмитрович,male,1947-02-08,Хореограф,селище Карлівка,"парк Молодіжна, буд. 810 кв. 075, Чортків, 18111",053 621 62 36,redkoanton@example.org
Каденюк,Людмила,Василівна,female,1961-02-10,Круп'є,селище Кам'янець-Подільський,"сквер Торгова, буд. 3 кв. 714, Кагарлик, 56836",049 734-91-64,siushchenko@example.net
Чумаченко,Богодар,Васильович,male,1940-06-11,Кухар,місто Миколаїв,"площа Академіка Векслера, буд. 17, Нововолинськ, 69244",+380 08 222 60 63,iaroslavbabarychenko@example.net
Вергун,Надія,Олександрівна,female,1945-11-13,Кінокритик,село Перечин,"провулок Слобідський узвіз, буд. 860, Ізюм, 90517",050 693-98-77,vitaliidatsiuk@example.com
Лагода,Ростислав,Олександрович,male,1984-01-03,Маркетолог,селище Ізяслав,"шосе Чорноморський 12-й, буд. 3 кв. 5, Сімферополь, 59133",+380 (68) 666-35-86,rlesyk@example.net
Сагаль,Лілія,Володимирівна,female,1960-04-08,Електромонтер,село Вашківці,"проспект Вчительська, буд. 94, Мена, 24853",021 973-84-20,iustynasyrotenko@example.net
Скоробогатько,Ілля,Петрович,male,2006-02-06,Детектив,хутір Сімферополь,"шосе Деревообробна, буд. 977, Борислав, 40619",625-07-10,azarskopenko@example.com
Журавель,Аарон,Федорович,male,1965-11-23,Журналіст,місто Збараж,"вулиця Ланжерон, буд. 288 кв. 7, Федорівка, 47650",004 364-41-89,spasmazepa@example.org
Кибкало,Роксолана,Зіновіївна,female,1961-07-16,Програміст,хутір Борзна,"площа Любомира Гузара, буд. 6 кв. 35, Докучаєвськ, 73692",935-44-17,snizhanababko@example.net
Таран,Зиновій,Ярославович,male,1965-01-07,Інженер,селище Іловайськ,"набережна Обільний 1-й, буд. 828, Ворожба, 28821",380-26-95,marusia59@example.com
Дейсун,Охрім,Зіновійович,male,1957-06-01,Бібліограф,місто Апостолове,"парк Тарутинська, буд. 6, Щолкіне, 82263",868 78 39,borysteslia@example.org
Ващенко-Захарченко,Єва,Василівна,female,1943-09-13,Фермер,місто Глиняни,"набережна Горизонтальна, буд. 106, Мирноград, 59612",+380 76 248-69-22,barannykleopold@example.com
Ящук,Богуслава,Тарасівна,female,2004-11-24,Фізик,хутір Бурштин,"площа Кустанайська, буд. 6, Боково-Хрустальне, 45618",046 347 93 04,hlibostapchuk@example.org
Піддубний,Світлана,Володимирівна,female,2002-04-07,Археолог,село Тульчин,"набережна Дігтярна, буд. 59, Мерефа, 94876",+380 82 474-40-99,liliiadrobakha@example.org
